β,whole_time,opt_step_count,collison_count,oneLoop,oneOpt,Avg.Speed,Max.Speed,Mean_weight,crash_rate,Note
0.1,13.56576943397522,219,0,61.944152666553514,37.40563022491594,0.018704694,0.039086353,[[0.48 0.52]],0.0,
0.1,133.5122685432434,2662,0,50.15487172924245,32.19445901737457,0.018209396,0.04409046,[[0.44 0.56]],0.0,
0.1,53.748775005340576,1053,1,51.043471040209475,32.93028289889112,0.015130288,0.036756963,[[0.25 0.75]],1.0,
0.1,98.25878977775574,1959,0,50.157626226521565,32.17295775187144,0.024160111,0.0698596,[[0.49 0.51]],0.0,
0.1,66.27670168876648,1317,0,50.323995207871285,32.44647096302261,0.025979385,0.069047675,[[0.52 0.48]],0.0,
0.1,95.97119379043579,1923,0,49.90701705170868,32.334569339881135,0.024870997,0.0741661,[[0.51 0.49]],0.0,
0.1,43.98754024505615,871,0,50.50234241682681,32.27993541415332,0.02500764,0.0711019,[[0.54 0.46]],0.0,
0.1,58.81910228729248,1137,0,51.73184018231529,33.31266669925096,0.020249154,0.044464156,[[0.48 0.52]],0.0,
1000,88.1843900680542,1745,2,50.535467087710146,32.37643337523015,0.019771371,0.046378583,[[0.58 0.42]],1.0,
1000,28.35116720199585,539,0,52.59956809275668,33.28828953192716,0.019214764,0.04374484,[[0.57 0.43]],0.0,
1000,51.36054182052612,999,0,51.41195377430043,33.15780160424707,0.020240253,0.047341865,[[0.54 0.46]],0.0,
1000,31.133899450302124,602,2,51.71744094734572,33.87757987279036,0.019877657,0.047442663,[[0.56 0.44]],1.0,
1000,17.54143238067627,319,44,54.98881624036448,34.20003603992044,0.0094690835,0.034592856,[[0.66 0.34]],0.0,
1000,186.27583384513855,2806,24,66.38483030831738,32.07732512962792,0.01941656,0.049921308,[[0.51 0.49]],7.0,
1000,51.19489812850952,1021,38,50.14191785358425,31.59246131792358,0.017929943,0.050105143,[[0.42 0.58]],4.0,
1000,1.7941725254058838,36,0,49.838125705718994,31.43501944012112,0.01175804,0.026499761,[[0.65 0.35]],0.0,
1000,2.1052753925323486,42,0,50.12560458410354,31.476781481788272,0.015791122,0.029603407,[[0.27 0.73]],0.0,
1000,3.189464807510376,51,0,62.53852563745835,31.982767815683406,0.011759486,0.02374182,[[0.28 0.72]],0.0,
,,,,,,,,,,"End of iteration for  β value 1000
"
1000,177.28303050994873,3248,17,54.58221382695466,31.304160362393986,0.018035341,0.04554779,[[0.43 0.57]],9.0,
1000,182.79443764686584,3341,22,54.712492561169064,31.201329926322657,0.018040719,0.048647374,[[0.39 0.61]],9.0,
1000,190.07191514968872,3466,6,54.838983020683415,31.359144806242785,0.018039275,0.048764087,[[0.38 0.62]],3.0,
1000,187.34285736083984,3404,24,55.03609205665095,31.392710469444264,0.01776344,0.044947226,[[0.41 0.59]],12.0,
1000,227.0526716709137,4129,42,54.989748527709786,31.38856900520722,0.016968198,0.04500798,[[0.35 0.65]],12.0,
,,,,,,,,,,"End of iteration for  β value 1000
"
0.1,168.0295352935791,3046,18,55.16399714168716,31.43056403314762,0.018457912,0.047936507,[[0.39 0.61]],4.0,
0.1,166.76832962036133,3037,18,54.9121928285681,31.434204062624197,0.018814946,0.05096432,[[0.38 0.62]],7.0,
0.1,177.89923191070557,3239,31,54.92412223238826,31.411422627617743,0.018023318,0.042789474,[[0.37 0.63]],7.0,
0.1,179.3296184539795,3277,11,54.72371634238007,31.385712264185823,0.018606426,0.052804805,[[0.36 0.64]],6.0,
0.1,210.74729108810425,3844,15,54.82499768160881,31.377358751664175,0.017269662,0.04893568,[[0.3 0.7]],7.0,
,,,,,,,,,,"End of iteration for  β value 0.1
"
0.3,199.35924625396729,3620,27,55.07161498728378,31.39433610505162,0.017315088,0.045597203,[[0.33 0.67]],11.0,
0.3,179.1790735721588,3253,16,55.08117847284316,31.400199527195188,0.018389124,0.045602757,[[0.35 0.65]],9.0,
0.3,172.25262355804443,3128,15,55.06797428326229,31.371622972781093,0.018424947,0.04333534,[[0.37 0.63]],6.0,
0.3,218.6126172542572,3977,16,54.969227370947245,31.377652916202056,0.017268602,0.046875034,[[0.29 0.71]],8.0,
0.3,163.62797689437866,2975,15,55.00100063676594,31.366772531461315,0.019012976,0.04896999,[[0.4 0.6]],4.0,
,,,,,,,,,,"End of iteration for  β value 0.3
"
0.5,174.5927758216858,3181,19,54.88612883423005,31.36275767230718,0.018588098,0.04830439,[[0.36 0.64]],8.0,
0.5,174.97124409675598,3181,11,55.00510660067777,31.369511566234063,0.018286826,0.044169836,[[0.36 0.64]],5.0,
0.5,215.35166311264038,3919,35,54.9506667804645,31.376653740861702,0.017720684,0.048541307,[[0.3 0.7]],12.0,
0.5,186.53660941123962,3388,37,55.058031113116776,31.413017647888474,0.018028278,0.050611,[[0.34 0.66]],10.0,
