β,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
0.1,23.730588912963867,3668,35,6.0,,,
0.1,24.17902636528015,3666,19,5.0,,,
0.1,23.817522287368774,3627,13,3.0,,,
0.1,23.21713399887085,3666,5,1.0,,,
0.1,23.510123014450073,3708,34,9.0,,,
0.1,23.17558455467224,3668,23,4.0,,,
0.1,22.812280654907227,3627,1,1.0,,,
0.1,23.174527883529663,3666,29,6.0,,,
0.1,24.890570163726807,3668,29,8.0,,,
0.1,23.345706939697266,3698,49,12.0,,,
0.1,23.452139377593994,3628,13,3.0,,,
0.1,23.63351082801819,3708,28,7.0,,,
0.1,33.05531120300293,5202,7,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 0.1
"
0.3,21.02563500404358,3338,0,0.0,,,
0.3,21.17872643470764,3365,0,0.0,,,
0.3,21.033064603805542,3327,0,0.0,,,
0.3,22.444227695465088,3330,0,0.0,,,
0.3,22.52781581878662,3377,0,0.0,,,
0.3,21.6161527633667,3394,0,0.0,,,
0.3,21.152024507522583,3346,0,0.0,,,
0.3,22.048951148986816,3415,0,0.0,,,
0.3,21.452565670013428,3339,0,0.0,,,
0.3,21.835390090942383,3377,0,0.0,,,
0.3,21.75037455558777,3406,0,0.0,,,
0.3,21.29110288619995,3349,0,0.0,,,
0.3,32.849130392074585,5171,12,4.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 0.3
"
0.5,21.375966787338257,3349,0,0.0,,,
0.5,22.110846281051636,3338,0,0.0,,,
0.5,21.604695796966553,3372,1,1.0,,,
0.5,21.29902720451355,3342,0,0.0,,,
0.5,21.528236865997314,3388,0,0.0,,,
0.5,21.636199712753296,3369,1,1.0,,,
0.5,21.717233896255493,3417,0,0.0,,,
0.5,21.791680812835693,3371,0,0.0,,,
0.5,21.82048797607422,3366,0,0.0,,,
0.5,21.684701681137085,3371,0,0.0,,,
0.5,21.640275239944458,3373,0,0.0,,,
0.5,22.079549551010132,3368,0,0.0,,,
0.5,34.04473280906677,5187,19,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 0.5
"
0.1,24.37425923347473,3668,35,6.0,,,
0.1,23.891311407089233,3666,19,5.0,,,
0.1,23.057035207748413,3627,13,3.0,,,
0.1,23.65933895111084,3666,5,1.0,,,
0.1,23.371766328811646,3708,34,9.0,,,
0.1,23.195497512817383,3668,23,4.0,,,
0.1,23.02963924407959,3627,1,1.0,,,
0.1,23.250906229019165,3666,29,6.0,,,
0.1,23.20326018333435,3668,29,8.0,,,
0.1,23.239434480667114,3698,49,12.0,,,
0.1,23.000611066818237,3628,13,3.0,,,
0.1,23.629596948623657,3708,28,7.0,,,
0.1,33.092694997787476,5202,7,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 0.1
"
0.3,23.219865083694458,3668,8,3.0,,,
0.3,23.170995473861694,3669,4,1.0,,,
0.3,22.967381238937378,3628,8,2.0,,,
0.3,23.376760005950928,3667,18,5.0,,,
0.3,23.33605194091797,3628,17,3.0,,,
0.3,23.343668460845947,3667,4,2.0,,,
0.3,22.898371696472168,3627,7,1.0,,,
0.3,23.199753284454346,3667,17,3.0,,,
0.3,23.268394470214844,3669,5,1.0,,,
0.3,23.17712712287903,3667,9,3.0,,,
0.3,23.01763892173767,3666,14,3.0,,,
0.3,23.08323097229004,3669,13,5.0,,,
0.3,33.293569803237915,5270,11,4.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 0.3
"
0.5,23.221888542175293,3666,28,5.0,,,
0.5,23.364331245422363,3668,0,0.0,,,
0.5,23.098936557769775,3626,2,1.0,,,
0.5,23.302741527557373,3667,12,3.0,,,
0.5,23.31535506248474,3668,33,8.0,,,
