topN,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
1,24.918134689331055,3668,4,1.0,,,
1,25.962396144866943,3628,20,4.0,,,
1,24.540382623672485,3628,42,8.0,,,
1,24.5927574634552,3667,3,1.0,,,
1,24.336545944213867,3667,18,4.0,,,
1,24.565773487091064,3707,28,6.0,,,
1,24.254733324050903,3668,16,4.0,,,
1,24.156898260116577,3651,67,14.0,,,
5,24.295043230056763,3667,8,2.0,,,
5,24.42780566215515,3667,15,2.0,,,
5,24.1635844707489,3627,1,1.0,,,
5,24.328214406967163,3666,32,8.0,,,
5,24.369601726531982,3667,7,2.0,,,
5,24.28677225112915,3667,9,3.0,,,
5,24.08581280708313,3628,6,1.0,,,
5,24.257142782211304,3670,4,1.0,,,
10,24.284741163253784,3656,32,6.0,,,
10,24.3693904876709,3665,6,3.0,,,
10,24.080169200897217,3629,2,1.0,,,
10,24.42197608947754,3668,23,6.0,,,
10,24.436931848526,3668,53,10.0,,,
10,24.33282160758972,3666,13,3.0,,,
10,24.018368244171143,3627,11,2.0,,,
10,24.426252603530884,3669,5,1.0,,,
20,24.39027190208435,3667,21,7.0,,,
20,24.365944147109985,3668,35,7.0,,,
20,24.051616430282593,3628,0,0.0,,,
20,24.45604944229126,3668,31,5.0,,,
20,24.489219188690186,3691,19,4.0,,,
20,24.36543107032776,3663,4,2.0,,,
20,24.227195262908936,3628,12,3.0,,,
20,24.377472639083862,3668,8,2.0,,,
30,24.381510972976685,3667,7,2.0,,,
30,24.374308347702026,3667,2,1.0,,,
30,24.168248653411865,3628,7,3.0,,,
30,24.37917447090149,3667,51,11.0,,,
30,24.419082403182983,3669,4,1.0,,,
30,24.473018407821655,3667,36,8.0,,,
30,24.104893922805786,3626,9,1.0,,,
30,24.493862867355347,3667,11,3.0,,,
40,24.29596996307373,3666,57,13.0,,,
40,24.282572031021118,3653,33,6.0,,,
40,24.110196113586426,3627,15,2.0,,,
40,24.280305862426758,3667,3,1.0,,,
40,24.32611608505249,3668,3,2.0,,,
40,24.350032091140747,3668,1,1.0,,,
40,24.179226398468018,3629,1,1.0,,,
40,24.359943866729736,3667,44,9.0,,,
50,24.461158514022827,3667,19,5.0,,,
50,24.316067934036255,3666,15,4.0,,,
50,24.053687810897827,3627,3,1.0,,,
50,24.287957668304443,3650,70,14.0,,,
50,24.347351789474487,3668,1,1.0,,,
50,24.345703601837158,3669,17,3.0,,,
50,24.128857612609863,3628,12,3.0,,,
50,24.043402433395386,3612,9,3.0,,,
60,24.316009521484375,3667,25,5.0,,,
60,24.392451286315918,3667,9,2.0,,,
60,24.0377995967865,3626,6,1.0,,,
60,24.3112154006958,3668,14,3.0,,,
60,24.259362936019897,3669,27,6.0,,,
60,24.344908714294434,3667,12,3.0,,,
60,24.14214849472046,3627,0,0.0,,,
60,24.350857257843018,3666,65,13.0,,,
70,24.367361068725586,3669,13,5.0,,,
70,24.43883204460144,3668,31,6.0,,,
70,24.004656314849854,3626,14,2.0,,,
70,24.40221357345581,3668,5,1.0,,,
70,24.332301139831543,3668,46,12.0,,,
70,24.359055995941162,3667,36,10.0,,,
70,24.099254608154297,3628,3,1.0,,,
70,24.23452401161194,3667,34,9.0,,,
80,24.402859926223755,3668,6,1.0,,,
80,24.230908155441284,3650,30,7.0,,,
80,24.13094425201416,3626,1,1.0,,,
80,24.39038324356079,3667,18,4.0,,,
80,24.487810850143433,3668,13,4.0,,,
80,25.536244869232178,3669,20,4.0,,,
80,24.682101249694824,3630,0,0.0,,,
80,24.895686149597168,3669,6,1.0,,,
90,24.384825706481934,3651,54,10.0,,,
90,24.574415922164917,3667,1,1.0,,,
90,24.3865065574646,3628,5,1.0,,,
90,24.57448673248291,3668,40,7.0,,,
90,24.632649898529053,3669,19,5.0,,,
90,24.584704875946045,3668,41,8.0,,,
90,24.374309539794922,3627,0,0.0,,,
90,24.46907138824463,3668,24,5.0,,,
100,24.444496393203735,3650,39,10.0,,,
100,24.439752101898193,3666,20,4.0,,,
100,24.179295778274536,3628,1,1.0,,,
100,24.53220248222351,3667,8,2.0,,,
100,24.570772647857666,3669,37,9.0,,,
100,24.47830581665039,3667,13,3.0,,,
100,24.25654172897339,3628,0,0.0,,,
100,24.435255765914917,3667,26,6.0,,,
,,,,,,,"End of iteration for  topN value 100
"
1,25.575393676757812,3668,36,7.0,,,
1,25.22514057159424,3707,7,2.0,,,
1,24.47447156906128,3626,1,1.0,,,
1,24.336868047714233,3705,25,6.0,,,
1,25.039113759994507,3669,9,2.0,,,
1,25.07170557975769,3691,41,10.0,,,
1,24.48541235923767,3629,7,1.0,,,
1,25.16404962539673,3667,16,3.0,,,
5,25.2493839263916,3626,9,1.0,,,
5,25.42049551010132,3668,19,6.0,,,
5,24.743743658065796,3628,3,1.0,,,
5,24.71783471107483,3668,14,4.0,,,
5,24.61349892616272,3670,18,4.0,,,
5,24.70303964614868,3669,12,3.0,,,
5,24.718162059783936,3627,0,0.0,,,
5,24.98297381401062,3669,16,4.0,,,
10,24.99972653388977,3668,17,5.0,,,
10,24.47122359275818,3666,5,1.0,,,
10,24.327772855758667,3628,7,1.0,,,
10,24.781989574432373,3668,4,2.0,,,
10,25.06252932548523,3669,28,5.0,,,
10,25.156401872634888,3709,21,6.0,,,
10,24.819552183151245,3628,2,1.0,,,
10,25.28086805343628,3668,12,3.0,,,
20,25.151371717453003,3666,5,1.0,,,
20,25.665130853652954,3666,0,0.0,,,
20,24.478392601013184,3628,5,1.0,,,
20,24.494219064712524,3654,30,6.0,,,
20,25.280142545700073,3669,18,5.0,,,
20,24.78310203552246,3693,26,5.0,,,
20,23.95186710357666,3628,13,3.0,,,
20,25.040117502212524,3667,18,4.0,,,
30,24.580808877944946,3668,3,1.0,,,
30,24.77499794960022,3667,21,5.0,,,
30,24.33184003829956,3627,0,0.0,,,
30,25.298818111419678,3667,8,2.0,,,
30,25.51045060157776,3667,37,7.0,,,
30,25.451762199401855,3627,9,3.0,,,
30,25.49895143508911,3628,3,1.0,,,
30,25.36909532546997,3667,7,2.0,,,
40,25.50446891784668,3665,19,4.0,,,
40,25.07707929611206,3667,29,5.0,,,
40,25.218395471572876,3628,9,1.0,,,
40,25.305623054504395,3691,51,9.0,,,
40,25.4995596408844,3668,9,2.0,,,
40,24.358131408691406,3667,36,7.0,,,
40,24.291779279708862,3628,7,2.0,,,
40,24.36140012741089,3669,17,4.0,,,
50,24.09470510482788,3667,5,1.0,,,
50,25.39156723022461,3668,16,2.0,,,
50,24.990894556045532,3629,16,4.0,,,
50,24.528302431106567,3668,13,3.0,,,
50,24.578136920928955,3669,12,2.0,,,
50,24.8680317401886,3666,8,1.0,,,
50,23.96500015258789,3622,10,2.0,,,
50,24.814433574676514,3707,16,5.0,,,
60,24.081620454788208,3669,0,0.0,,,
60,25.073079586029053,3667,23,5.0,,,
60,25.009618520736694,3666,0,0.0,,,
60,24.950830221176147,3628,1,1.0,,,
60,25.45734477043152,3667,4,2.0,,,
60,25.71036386489868,3669,22,4.0,,,
60,26.55656933784485,3667,16,4.0,,,
60,25.367044687271118,3653,20,5.0,,,
60,25.220680475234985,3667,8,2.0,,,
60,27.22422432899475,3668,5,1.0,,,
60,28.88463020324707,3667,14,3.0,,,
60,28.218477725982666,3631,4,2.0,,,
60,28.018091917037964,3656,48,9.0,,,
70,28.040225505828857,3667,19,4.0,,,
70,27.708369493484497,3627,5,2.0,,,
70,27.615602731704712,3629,8,1.0,,,
70,27.865469455718994,3667,4,2.0,,,
70,28.29759645462036,3708,25,5.0,,,
70,27.859987497329712,3668,10,2.0,,,
70,27.497984886169434,3629,53,9.0,,,
70,27.789332151412964,3670,5,2.0,,,
70,27.992166757583618,3668,12,5.0,,,
70,27.755064487457275,3667,22,3.0,,,
70,27.577412843704224,3628,33,6.0,,,
70,27.96768283843994,3669,42,11.0,,,
80,27.99957013130188,3668,24,4.0,,,
80,28.085283994674683,3668,31,5.0,,,
80,27.7008695602417,3626,8,1.0,,,
80,28.10528016090393,3669,14,3.0,,,
80,28.19129228591919,3707,5,2.0,,,
80,28.228997945785522,3708,21,5.0,,,
80,27.531798124313354,3628,24,4.0,,,
80,28.090272188186646,3695,17,4.0,,,
80,27.84535264968872,3669,21,4.0,,,
80,28.0483181476593,3707,17,5.0,,,
80,27.551657915115356,3627,2,1.0,,,
80,28.05970025062561,3701,74,14.0,,,
90,27.787505626678467,3668,0,0.0,,,
90,27.94037127494812,3667,5,1.0,,,
90,27.852463960647583,3666,28,7.0,,,
90,28.035072565078735,3669,52,9.0,,,
90,28.100520610809326,3667,21,5.0,,,
90,28.42978286743164,3709,35,6.0,,,
90,28.079946756362915,3667,33,6.0,,,
90,27.659425497055054,3710,38,8.0,,,
90,28.302799224853516,3668,16,4.0,,,
90,28.71358871459961,3668,18,4.0,,,
90,28.00416922569275,3667,34,7.0,,,
90,27.587250232696533,3665,20,6.0,,,
100,27.274553775787354,3668,7,1.0,,,
100,27.88805627822876,3668,4,1.0,,,
100,28.412359714508057,3626,7,1.0,,,
100,27.41807246208191,3708,25,6.0,,,
100,27.077746152877808,3667,7,2.0,,,
100,27.05622959136963,3669,27,5.0,,,
100,27.11898922920227,3655,33,6.0,,,
100,28.184101581573486,3708,18,3.0,,,
100,25.374780654907227,3669,45,8.0,,,
100,24.936365842819214,3707,56,14.0,,,
100,24.431025981903076,3667,27,6.0,,,
100,24.624976873397827,3697,34,8.0,,,
200,24.7018301486969,3698,34,7.0,,,
200,24.929795265197754,3749,24,7.0,,,
200,24.75486183166504,3669,37,7.0,,,
200,26.870802402496338,3708,41,9.0,,,
200,27.121014833450317,3735,93,20.0,,,
200,26.163984775543213,3708,29,5.0,,,
200,25.88317322731018,3668,35,7.0,,,
200,25.427201747894287,3709,68,12.0,,,
200,25.145225048065186,3748,54,11.0,,,
200,24.95705795288086,3703,54,12.0,,,
200,24.28115439414978,3629,20,4.0,,,
200,24.769968509674072,3709,33,9.0,,,
,,,,,,,"End of iteration for  topN value 200
"
30,25.866411685943604,3667,26,7.0,,,
30,25.21153426170349,3668,24,4.0,,,
30,25.051737546920776,3627,0,0.0,,,
30,25.218801736831665,3632,48,11.0,,,
30,25.761770009994507,3669,52,9.0,,,
30,25.17578911781311,3653,11,2.0,,,
30,25.572989225387573,3629,0,0.0,,,
30,25.608299016952515,3668,21,5.0,,,
30,25.468472242355347,3667,13,3.0,,,
1,25.13665509223938,3668,4,1.0,,,
1,23.379358053207397,3628,23,4.0,,,
1,23.62352728843689,3628,49,9.0,,,
1,23.269657611846924,3667,3,1.0,,,
1,23.279224157333374,3667,26,5.0,,,
1,23.785372972488403,3707,30,6.0,,,
1,23.616360664367676,3668,20,4.0,,,
1,24.038437128067017,3651,73,14.0,,,
1,23.3446683883667,3667,11,2.0,,,
1,23.425917863845825,3666,32,8.0,,,
1,23.054932355880737,3627,4,2.0,,,
1,23.407292127609253,3667,11,3.0,,,
5,23.327653646469116,3649,58,11.0,,,
5,23.381575345993042,3667,5,1.0,,,
5,23.048428297042847,3628,0,0.0,,,
5,23.574875593185425,3689,14,3.0,,,
5,23.512195110321045,3667,22,4.0,,,
5,23.47539734840393,3668,23,5.0,,,
5,23.183007955551147,3626,6,4.0,,,
5,23.280630588531494,3657,24,6.0,,,
5,23.62532329559326,3669,15,3.0,,,
5,23.914684534072876,3671,9,2.0,,,
5,23.252460718154907,3630,1,1.0,,,
5,23.364449501037598,3668,20,6.0,,,
10,23.906067371368408,3668,12,3.0,,,
10,24.382715463638306,3667,27,6.0,,,
10,23.384262561798096,3629,0,0.0,,,
10,23.77647852897644,3667,38,7.0,,,
10,26.650172472000122,3708,32,6.0,,,
10,24.840739011764526,3668,0,0.0,,,
10,23.88796639442444,3628,21,4.0,,,
10,23.678100109100342,3627,6,2.0,,,
10,23.9640953540802,3668,32,8.0,,,
10,23.80057191848755,3668,25,5.0,,,
10,23.73052167892456,3628,10,3.0,,,
10,23.54038143157959,3627,16,3.0,,,
20,23.775917530059814,3667,30,6.0,,,
20,23.834223747253418,3668,10,2.0,,,
20,23.58839988708496,3628,0,0.0,,,
20,23.803634643554688,3650,28,6.0,,,
20,23.927157640457153,3668,28,5.0,,,
20,23.84369659423828,3667,41,8.0,,,
20,23.647470474243164,3628,7,3.0,,,
20,23.769033908843994,3627,0,0.0,,,
20,23.995275735855103,3667,28,4.0,,,
20,23.845709323883057,3669,17,5.0,,,
20,23.64547562599182,3629,9,2.0,,,
20,23.63203525543213,3626,6,1.0,,,
30,23.58543086051941,3627,32,9.0,,,
30,23.854838132858276,3666,24,6.0,,,
30,23.752179861068726,3628,0,0.0,,,
30,23.770301342010498,3652,25,5.0,,,
30,23.67229390144348,3653,30,6.0,,,
30,23.803767204284668,3666,18,4.0,,,
30,23.6467068195343,3629,6,1.0,,,
30,23.884716510772705,3669,21,4.0,,,
30,23.786622524261475,3667,14,3.0,,,
30,23.800334692001343,3667,9,4.0,,,
30,23.78073215484619,3665,27,6.0,,,
30,23.509355068206787,3628,38,8.0,,,
40,24.00518274307251,3666,35,6.0,,,
40,23.984485149383545,3667,21,4.0,,,
40,23.616089820861816,3627,18,6.0,,,
40,23.704766035079956,3650,23,4.0,,,
40,24.038919687271118,3667,6,1.0,,,
40,23.863104581832886,3669,10,2.0,,,
40,23.895771503448486,3666,38,7.0,,,
40,23.849154472351074,3668,9,3.0,,,
40,23.97281503677368,3669,32,6.0,,,
40,24.293501138687134,3707,38,10.0,,,
40,23.821249961853027,3629,9,2.0,,,
40,23.586575508117676,3629,1,1.0,,,
50,23.91639757156372,3667,23,4.0,,,
50,23.60355234146118,3627,3,1.0,,,
50,23.367061138153076,3587,22,3.0,,,
50,23.859206199645996,3667,9,2.0,,,
50,23.93282151222229,3667,20,4.0,,,
50,23.868419647216797,3668,19,5.0,,,
50,23.56813097000122,3627,22,3.0,,,
50,23.853316068649292,3668,7,4.0,,,
50,24.025128602981567,3696,46,11.0,,,
50,23.942658185958862,3669,12,3.0,,,
50,23.60235071182251,3628,14,2.0,,,
50,23.814151763916016,3667,10,2.0,,,
60,23.9213604927063,3666,13,3.0,,,
60,24.00599217414856,3667,6,1.0,,,
60,23.755783796310425,3627,4,1.0,,,
60,23.868553400039673,3668,36,7.0,,,
60,24.137393951416016,3669,25,5.0,,,
60,23.974201440811157,3669,11,3.0,,,
60,23.75375485420227,3628,15,2.0,,,
60,24.07821822166443,3669,62,11.0,,,
60,24.080745697021484,3668,1,1.0,,,
60,23.91192317008972,3666,8,4.0,,,
60,23.69715118408203,3628,3,2.0,,,
60,23.793236017227173,3658,19,5.0,,,
70,23.87757635116577,3667,21,4.0,,,
70,23.830368041992188,3666,28,5.0,,,
70,23.639907836914062,3628,0,0.0,,,
70,23.882873058319092,3668,2,1.0,,,
70,23.93080472946167,3667,24,5.0,,,
70,23.889912366867065,3668,42,10.0,,,
70,24.03593134880066,3667,72,12.0,,,
70,23.6305034160614,3628,3,1.0,,,
70,23.868257999420166,3667,26,5.0,,,
70,23.945382356643677,3668,24,6.0,,,
70,23.843487977981567,3628,23,4.0,,,
70,24.046937465667725,3667,15,2.0,,,
80,23.783525705337524,3650,25,7.0,,,
80,23.74383521080017,3668,8,2.0,,,
80,23.64115333557129,3626,12,2.0,,,
80,23.881338119506836,3667,18,4.0,,,
80,23.927584648132324,3667,18,3.0,,,
80,23.987820625305176,3668,16,3.0,,,
