whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,oneLoop,oneOpt,Note
[-0.40. 0.40] 执行0.075
130.764,2274,0,0.0,48.174,188.413,0.283,0.695,0.44871554,57.504183489079,33.34318176108489,
139.575,2386,0,0.0,49.969,189.962,0.279,0.709,0.41792333,58.497528118539634,33.88429147699553,
154.899,2619,1,5.0,50.828,200.031,0.259,0.636,0.3601574,59.14446396334292,34.16291253627735,
142.376,2380,3,10.0,48.82,189.119,0.274,0.641,0.40831247,59.822047558151375,34.336945990554426,
141.904,2414.75,1.0,3.75,49.448,191.881,0.274,0.67,0.409,58.742,33.932,
141.904,2346.667,1.0,3.75,49.448,189.165,0.274,0.67,0.409,58.742,33.932,
-----测试多组  【-0.40, 0.40】
----------------------------------------------------------------
执行 0.07
133.336,2318,0,0.0,47.123,182.228,0.291,0.598,0.4630795,57.52196056869546,32.119868334456704,
147.852,2605,2,5.0,49.466,190.489,0.271,0.715,0.42228323,56.756901786789555,31.45166660682253,
126.11,2214,0,0.0,45.548,177.682,0.294,0.687,0.4629815,56.96017535398323,31.56218005389702,
143.2,2520,2,10.0,48.385,187.155,0.275,0.664,0.42467734,56.82532002055456,31.59269482370407,
155.109,2732,1,5.0,50.043,192.713,0.262,0.65,0.38861933,56.77489969077606,31.560170004692466,
149.814,2625,2,5.0,49.622,192.536,0.27,0.684,0.4047977,57.07210268293108,31.6481081644694,
143.444,2511,4,10.0,48.957,189.156,0.279,0.706,0.43896878,57.12627870824792,31.743509747601276,
137.251,2400,0,0.0,48.571,186.774,0.289,0.672,0.44942617,57.18803117672602,31.70705278714498,
142.014,2490.625,1.375,4.375,48.464,187.342,0.279,0.672,0.432,57.028,31.673,
142.014,2490.625,1.375,4.375,48.881,187.342,0.279,0.683,0.432,57.028,31.609,
----------------------------------------------------------------
[-0.30. 0.30] 执行0.075
122.378,2182,0,0.0,46.823,183.634,0.286,0.639,0.450503,56.08548558599681,32.708665846030065,
132.207,2374,1,5.0,49.246,190.218,0.277,0.67,0.4208379,55.6895830295823,32.557353917148404,
125.848,2249,0,0.0,48.121,183.521,0.286,0.704,0.44775933,55.95719374355182,32.71902482103591,
132.121,2357,0,0.0,48.808,190.225,0.276,0.695,0.41766325,56.05484491493119,32.65544151319099,
