whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,goal_w,collision_w,oneLoop,oneOpt,Note
146.485,2640,7,25.0,50.624,196.408,0.256,0.643,0.43535715,10,80,55.486868818600975,32.02725197329666,
137.926,2488,3,10.0,49.775,192.534,0.267,0.676,0.46236217,10,80,55.43655224168416,31.95263239348433,
122.239,2209,0,0.0,47.341,178.929,0.286,0.711,0.49022532,10,80,55.33676171205658,31.937056507336816,
110.874,2004,3,10.0,46.261,180.156,0.308,0.661,0.55443764,10,80,55.3262835729146,31.99871511992342,
129.381,2335.25,3.25,11.25,48.5,187.007,0.279,0.673,0.486,10.0,80.0,55.397,31.979,
129.381,2335.25,2.0,6.667,48.5,187.007,0.279,0.673,0.486,10.0,80.0,55.397,31.979,
122.752,2212,0,0.0,47.928,183.764,0.289,0.661,0.46651983,10,90,55.49378755079687,31.98747803030997,
120.553,2174,1,5.0,47.947,182.048,0.294,0.721,0.4761244,10,90,55.45226652466494,31.932320634268137,
116.11,2099,5,10.0,46.75,179.725,0.297,0.661,0.48743445,10,90,55.31672627202325,31.948947861059445,
126.593,2286,0,0.0,47.399,184.679,0.277,0.672,0.45012942,10,90,55.37733745908695,31.985131565771493,
121.502,2192.75,1.5,3.75,47.506,182.554,0.289,0.679,0.47,10.0,90.0,55.41,31.963,
121.502,2192.75,1.5,3.75,47.506,182.554,0.289,0.665,0.47,10.0,90.0,55.41,31.963,
139.54,2504,4,15.0,50.715,194.489,0.27,0.65,0.38575476,10,100,55.7267971503468,32.21590697955781,
145.934,2555,4,15.0,50.755,195.297,0.265,0.773,0.40135944,10,100,57.11684926848589,32.92674495749277,
134.049,2323,3,10.0,48.535,188.169,0.279,0.646,0.44959673,10,100,57.7049654617014,33.13161040809818,
126.058,2186,0,0.0,47.202,182.657,0.288,0.698,0.47501585,10,100,57.666227780452914,33.11227094330923,
136.395,2392.0,2.75,10.0,49.302,190.153,0.276,0.692,0.428,10.0,100.0,57.054,32.847,
136.395,2392.0,2.75,10.0,49.302,190.153,0.276,0.692,0.428,10.0,100.0,57.054,32.847,
155.184,2734,3,10.0,52.968,202.49,0.259,0.665,0.35754076,10,120,56.76074540780771,32.53586456212321,
132.178,2297,1,5.0,47.808,187.513,0.278,0.668,0.3956522,10,120,57.54356473541592,33.00429905919236,
141.984,2506,4,10.0,50.979,195.78,0.271,0.664,0.3728981,10,120,56.65763644152228,32.51348289602391,
137.458,2402,3,10.0,49.276,190.226,0.274,0.625,0.40282944,10,120,57.22669647893342,32.865648960491505,
141.701,2484.75,2.75,8.75,50.258,194.002,0.27,0.656,0.382,10.0,120.0,57.047,32.73,
141.701,2484.75,3.333,10.0,50.258,194.002,0.27,0.666,0.382,10.0,120.0,57.047,32.73,
170.663,2942,4,15.0,55.042,210.44,0.25,0.614,0.30616412,10,150,58.00902924514968,33.31738333569183,
160.256,2719,2,5.0,52.328,199.814,0.257,0.661,0.3284838,10,150,58.93928121669891,33.971619983068415,
152.558,2716,1,5.0,52.496,202.667,0.258,0.704,0.33489168,10,150,56.17001367422899,32.37192681681952,
126.675,2279,5,25.0,49.425,190.714,0.289,0.675,0.3629871,10,150,55.58341969100463,32.058900571172835,
152.538,2664.0,3.0,12.5,52.323,200.909,0.264,0.664,0.333,10.0,150.0,57.175,32.93,
152.538,2792.333,3.0,12.5,52.323,200.909,0.255,0.664,0.333,10.0,150.0,57.175,32.93,
133.503,2398,0,0.0,49.166,186.081,0.274,0.666,0.517157,20,130,55.67245974552641,32.048919978392334,
139.647,2506,5,15.0,50.506,191.334,0.269,0.647,0.49095565,20,130,55.72498691434016,32.00084793976755,
124.354,2235,5,10.0,47.473,181.651,0.283,0.688,0.52650106,20,130,55.63948341130677,32.01973976971586,
141.446,2538,10,15.0,50.079,193.864,0.263,0.615,0.49208376,20,130,55.731161829991265,32.022983939559374,
134.737,2419.25,5.0,10.0,49.306,188.232,0.272,0.654,0.507,20.0,130.0,55.692,32.023,
134.737,2419.25,5.0,10.0,49.306,188.232,0.272,0.654,0.507,20.0,130.0,55.692,32.023,
121.453,2182,2,5.0,46.75,178.565,0.286,0.713,0.54349095,20,140,55.661233819809446,32.03941418641647,
122.245,2195,18,15.0,47.405,182.527,0.288,0.684,0.5324581,20,140,55.69251751302315,32.03107610107283,
128.02,2303,5,15.0,47.634,182.546,0.276,0.716,0.49155584,20,140,55.58821216025044,32.029472120005934,
132.695,2389,3,10.0,48.931,187.962,0.273,0.672,0.461931,20,140,55.54426030765372,32.03807310261653,
126.103,2267.25,7.0,11.25,47.68,182.9,0.281,0.696,0.507,20.0,140.0,55.622,32.035,
126.103,2267.25,3.333,11.25,47.68,181.213,0.281,0.696,0.507,20.0,140.0,55.622,32.035,
133.871,2406,3,10.0,49.193,189.526,0.273,0.678,0.4764129,20,150,55.64048898685801,32.02626621931271,
139.195,2503,0,0.0,50.085,191.963,0.267,0.677,0.44661406,20,150,55.61109671247896,32.02908866842699,
132.818,2389,1,5.0,49.609,187.839,0.277,0.724,0.4792424,20,150,55.59562758553123,31.98394240470749,
115.322,2070,0,0.0,46.596,176.776,0.3,0.699,0.51903594,20,150,55.71094975955244,32.061066719644884,
130.302,2342.0,1.0,3.75,48.871,186.526,0.279,0.694,0.48,20.0,150.0,55.64,32.025,
135.295,2432.667,1.0,3.75,49.629,189.776,0.272,0.694,0.48,20.0,150.0,55.64,32.025,
141.138,2545,1,5.0,51.013,195.835,0.267,0.643,0.4296087,20,180,55.45696144253893,32.005466880873286,
124.555,2245,0,0.0,47.445,184.409,0.282,0.658,0.45774975,20,180,55.48097774021344,32.009712678021465,
147.064,2648,3,5.0,52.481,200.955,0.264,0.604,0.39194706,20,180,55.53780347559027,32.00567461932894,
127.323,2289,1,5.0,48.46,182.133,0.283,0.683,0.4691793,20,180,55.624025781480654,32.02155429028486,
135.02,2431.75,1.25,3.75,49.85,190.833,0.274,0.647,0.437,20.0,180.0,55.525,32.011,
135.02,2431.75,0.667,5.0,49.85,190.833,0.274,0.647,0.437,20.0,180.0,55.525,32.011,
134.687,2421,2,10.0,49.488,191.97,0.273,0.675,0.42875975,20,200,55.63261025407895,32.02094001643966,
147.042,2643,1,5.0,51.077,199.315,0.258,0.698,0.39035547,20,200,55.634416597520044,32.00560530793518,
133.137,2395,2,5.0,48.986,190.047,0.273,0.696,0.40624323,20,200,55.5894794941944,32.03156039212093,
127.053,2287,0,0.0,49.108,187.206,0.287,0.624,0.43929577,20,200,55.55451182126478,31.98106465091547,
135.48,2436.5,1.25,5.0,49.665,192.134,0.273,0.673,0.416,20.0,200.0,55.603,32.01,
131.626,2367.667,1.25,5.0,49.665,192.134,0.278,0.673,0.416,20.0,200.0,55.603,32.01,
121.682,2187,0,0.0,47.821,183.116,0.292,0.645,0.4238256,20,220,55.63894558781404,32.03589304647982,
157.034,2829,2,10.0,53.486,204.387,0.252,0.621,0.34744787,20,220,55.50875820511851,31.96445603638666,
138.822,2497,2,10.0,50.416,194.185,0.269,0.64,0.40390694,20,220,55.59546268602156,32.042432986692184,
133.188,2399,1,5.0,49.448,189.447,0.275,0.649,0.410206,20,220,55.51796836026165,31.98635215409451,
137.682,2478.0,1.25,6.25,50.293,192.784,0.272,0.639,0.396,20.0,220.0,55.565,32.007,
137.682,2478.0,1.25,6.25,50.293,192.784,0.272,0.639,0.413,20.0,220.0,55.565,32.007,
150.961,2714,4,10.0,52.552,202.457,0.258,0.695,0.34187526,20,250,55.622926861728565,32.02191159930753,
145.986,2626,2,5.0,50.359,197.336,0.256,0.65,0.35321864,20,250,55.59264469582528,31.993277819212935,
121.246,2179,0,0.0,47.655,184.547,0.292,0.669,0.40512705,20,250,55.64304238451135,32.04124101863754,
157.006,2823,3,10.0,53.526,204.401,0.253,0.643,0.3310311,20,250,55.61684616229402,31.987934301729705,
143.8,2585.5,2.25,6.25,51.023,197.185,0.265,0.664,0.358,20.0,250.0,55.619,32.011,
143.8,2585.5,2.25,6.25,51.023,197.185,0.256,0.664,0.358,20.0,250.0,55.619,32.011,
#================================================================可视化测试
#118.615,2099,2,5.0,46.153,180.43,0.293,0.617,0.5366435,10,80,56.51035008968882,32.333308256711774,
#155.361,2811,8,20.0,52.883,201.474,0.251,0.66,0.38713568,10,80,55.268811568888175,31.477157944930653,
#151.798,2749,3,10.0,52.347,199.996,0.254,0.676,0.40591124,10,80,55.219375336981116,31.546469730392463,
#130.027,2328,1,5.0,48.462,183.565,0.278,0.669,0.46755055,10,80,55.853694882179866,31.91700577735901,
#138.95,2496.75,3.5,10.0,49.961,191.366,0.269,0.656,0.449,10.0,80.0,55.713,31.818,
#138.95,2496.75,3.5,10.0,49.961,191.366,0.269,0.656,0.449,10.0,80.0,55.713,31.818,
#5.624,41,0,0.0,0.731,4.046,0.25,0.393,0.50170696,10,80,137.18260206827304,90.26643125022329,
#112.266,2022,3,5.0,46.382,179.48,0.306,0.754,0.5480937,10,80,55.522173495721866,32.05636252753223,
#106.631,1950,0,0.0,46.198,178.1,0.316,0.726,0.57428646,10,80,54.682332307864456,31.51196174132518,
#106.101,1940,0,0.0,46.114,176.413,0.317,0.723,0.53276235,10,80,54.691435504205444,31.52806119820506,
#113.941,2088,1,5.0,46.904,181.343,0.3,0.708,0.5458073,10,80,54.56939522333985,31.454464713275662,
#109.735,2000.0,1.0,2.5,46.399,178.834,0.31,0.728,0.55,10.0,80.0,54.866,31.638,
#109.735,2000.0,1.0,2.5,46.399,178.834,0.31,0.719,0.542,10.0,80.0,54.648,31.498,
#================================================================updown PM测试
#106.031,1990,0,0.0,45.993,176.6,0.308,0.756,0.54995275,10,80,53.281804544841826,32.496309160587174,
#98.273,1878,0,0.0,46.12,175.648,0.328,0.689,0.5826876,10,80,52.328622506195494,32.24404779866862,
#112.221,2129,0,0.0,47.332,182.149,0.297,0.689,0.52118295,10,80,52.71062508274435,32.31507816914944,
#104.228,1917,1,5.0,45.7,174.053,0.318,0.756,0.5622682,10,80,54.37038077870321,33.07369841096547,
#105.188,1978.5,0.25,1.25,46.286,177.112,0.313,0.722,0.554,10.0,80.0,53.173,32.532,
#105.188,1978.5,0.0,0.0,45.938,175.434,0.313,0.722,0.554,10.0,80.0,53.173,32.532,
#================================================================leftright PM测试
#121.13,2159,2,5.0,47.274,181.081,0.292,0.758,0.49774703,10,80,56.10461045106621,33.240842289149406,
#135.298,2507,4,5.0,51.279,196.332,0.273,0.713,0.43889332,10,80,53.96801349790533,32.40591394601707,
#141.681,2614,2,10.0,51.053,195.13,0.261,0.657,0.42524356,10,80,54.20090172613679,32.56431333692181,
#126.397,2329,6,15.0,48.272,184.978,0.277,0.696,0.47195554,10,80,54.270763671567074,32.58588417449597,
#131.127,2402.25,3.5,8.75,49.469,189.38,0.276,0.706,0.458,10.0,80.0,54.636,32.699,
#131.127,2402.25,3.5,8.75,49.469,189.38,0.276,0.706,0.458,10.0,80.0,54.147,32.519,
