whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
[-0.30, 0.30] 执行0.07


156.337,2734,0,0.0,50.947,203.851,0.266,0.777,10,80,57.18240566993161,32.91670728444879
153.059,2631,3,15.0,52.336,201.656,0.284,0.714,10,80,58.17513074407284,33.56406290872792
138.276,2350,0,0.0,49.538,193.407,0.301,0.771,10,80,58.84089987328712,34.0477159175467
148.524,2512,0,0.0,50.366,195.801,0.287,0.712,10,80,59.12589201122333,34.18430192455365

149.049,2556.75,0.75,3.75,50.797,198.679,0.284,0.744,10.0,80.0,58.331,33.678
149.049,2556.75,0.0,0.0,50.797,198.679,0.284,0.744,10.0,80.0,58.331,33.678

154.367,2596,1,5.0,52.723,203.494,0.29,0.764,10,100,59.46337598130589,34.25770300011421
161.222,2769,0,0.0,54.026,209.486,0.279,0.803,10,100,58.22402804971559,33.608662001533
148.494,2576,0,0.0,51.887,203.325,0.288,0.788,10,100,57.64503971390102,33.42738580999907
160.38,2774,5,15.0,54.227,207.756,0.279,0.801,10,100,57.815363188828165,33.471502669870034
156.116,2678.75,1.5,5.0,53.216,206.015,0.284,0.789,10.0,100.0,58.287,33.691
156.116,2678.75,1.5,5.0,53.216,206.015,0.284,0.789,10.0,100.0,58.287,33.503
131.598,2280,0,0.0,48.641,191.403,0.305,0.819,10,150,57.71851989260891,33.43121210734049
141.259,2462,0,0.0,50.977,199.999,0.296,0.788,10,150,57.375604500139175,33.1988533176512
144.621,2510,0,0.0,50.173,198.061,0.286,0.78,10,150,57.61802633445101,33.42182465283519
149.306,2599,0,0.0,52.862,204.199,0.291,0.79,10,150,57.447595200019414,33.40522864085979

141.696,2462.75,0.0,0.0,50.663,198.416,0.294,0.794,10.0,150.0,57.54,33.36
141.696,2462.75,0.0,0.0,50.663,198.416,0.294,0.786,10.0,150.0,57.54,33.419

140.903,2448,0,0.0,50.281,198.609,0.294,0.766,10,200,57.55842559867435,33.52002283326941
150.265,2610,0,0.0,52.366,204.058,0.287,0.752,10,200,57.57292212197607,33.532259199354385
141.359,2439,1,5.0,50.466,199.081,0.296,0.81,10,200,57.957703581399834,33.77643458517715
169.717,2924,3,10.0,55.768,218.072,0.273,0.809,10,200,58.04260313592433,33.858790932536614
150.561,2605.25,1.0,3.75,52.22,204.955,0.288,0.784,10.0,200.0,57.783,33.672
150.561,2605.25,1.0,3.75,52.22,204.955,0.288,0.784,10.0,200.0,57.783,33.672
137.117,2360,0,0.0,49.072,194.483,0.297,0.856,10,250,58.10064350144338,33.88358879897554
141.482,2444,1,5.0,49.988,195.6,0.292,0.79,10,250,57.88973759122059,33.774868458655774
145.798,2520,0,0.0,50.459,202.55,0.286,0.809,10,250,57.856244321853396,33.704397602686804
150.881,2606,0,0.0,52.611,204.773,0.289,0.736,10,250,57.897574244694624,33.79668991838339
