whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
121.731,2247,6,10.0,47.295,186.415,0.301,0.74,10.0,80,54.1750203783267,31.10409430201233
122.763,2296,4,10.0,49.148,190.717,0.306,0.752,10.0,80,53.46838439383158,30.74082815273298
118.904,2214,0,0.0,48.048,188.469,0.31,0.754,10.0,80,53.70556479008648,30.881754105007097
121.133,2252.333,3.333,6.667,48.164,188.534,0.306,0.749,10.0,80.0,53.783,30.909
121.133,2252.333,3.333,6.667,48.164,188.534,0.306,0.749,10.0,80.0,53.783,30.909
138.943,2581,2,5.0,53.12,204.971,0.294,0.758,10.0,100,53.83314794461333,30.89331832332973
139.793,2583,4,15.0,51.991,200.92,0.288,0.775,10.0,100,54.12049677498434,31.053119881689387
150.623,2781,5,10.0,54.181,208.726,0.279,0.722,10.0,100,54.161550414858,31.036901456852778
143.12,2648.333,3.667,10.0,53.097,204.872,0.287,0.752,10.0,100.0,54.038,30.994
143.12,2648.333,3.667,10.0,53.097,204.872,0.287,0.752,10.0,100.0,54.038,30.994
117.169,2166,1,5.0,47.798,187.621,0.316,0.832,10.0,120,54.094714581250926,31.075941668763164
133.869,2469,1,5.0,51.646,199.861,0.299,0.653,10.0,120,54.219919450372856,31.054624906673563
134.2,2479,3,10.0,51.696,200.719,0.298,0.762,10.0,120,54.13491065197291,31.095770204581765
128.413,2371.333,1.667,6.667,50.38,196.067,0.304,0.749,10.0,120.0,54.15,31.075
128.413,2371.333,1.667,6.667,50.38,196.067,0.304,0.749,10.0,120.0,54.15,31.075
137.53,2534,3,10.0,53.03,204.946,0.299,0.8,10.0,140,54.27374205630693,31.08435751607123
127.502,2350,4,5.0,49.663,193.678,0.302,0.77,10.0,140,54.25613829430113,31.10868585870621
134.346,2480,3,10.0,52.105,201.6,0.3,0.745,10.0,140,54.1719546241145,31.08248883678067
133.126,2454.667,3.333,8.333,51.599,200.075,0.3,0.772,10.0,140.0,54.234,31.092
133.126,2454.667,3.333,8.333,51.599,200.075,0.3,0.772,10.0,140.0,54.234,31.092
155.704,2868,6,15.0,55.651,214.434,0.277,0.733,10.0,160,54.290058473164066,31.09817383512127
123.146,2270,1,5.0,47.846,188.057,0.301,0.761,10.0,160,54.24944451201855,31.12155708447427
137.74,2543,3,5.0,51.681,199.058,0.291,0.725,10.0,160,54.16454033170964,31.099022348893705
138.863,2560.333,3.333,8.333,51.726,200.516,0.29,0.74,10.0,160.0,54.235,31.106
138.863,2560.333,3.333,8.333,51.726,200.516,0.29,0.74,10.0,160.0,54.235,31.106
130.696,2415,1,5.0,49.552,196.87,0.293,0.701,10.0,180,54.11863396133202,31.079275020654652
137.884,2545,1,5.0,50.662,198.507,0.285,0.912,10.0,180,54.1785252351892,31.077796958518636
124.298,2294,0,0.0,49.103,193.715,0.306,0.754,10.0,180,54.1840017413511,31.109643065628013
130.959,2418.0,0.667,3.333,49.772,196.364,0.295,0.789,10.0,180.0,54.16,31.089
130.959,2418.0,0.667,3.333,49.772,196.364,0.295,0.789,10.0,180.0,54.16,31.089
134.189,2478,0,0.0,50.153,197.993,0.289,0.755,10.0,200,54.15217072084317,31.093257583852157
130.919,2419,1,5.0,49.433,193.929,0.292,0.71,10.0,200,54.12100099640082,31.065664295324268
137.261,2534,2,5.0,51.168,198.626,0.289,0.7,10.0,200,54.167613892829976,31.10233422048278
134.123,2477.0,1.0,3.333,50.251,196.849,0.29,0.722,10.0,200.0,54.147,31.087
134.123,2477.0,1.0,3.333,50.251,196.849,0.29,0.722,10.0,200.0,54.147,31.087
127.615,2355,0,0.0,48.881,192.436,0.297,0.789,10.0,220,54.189027292207044,31.086393323926664
131.169,2420,3,5.0,50.501,195.015,0.298,0.856,10.0,220,54.201929037235985,31.072563277788397
162.441,3000,2,5.0,56.906,217.191,0.271,0.761,10.0,220,54.146877686182656,31.10424240430196
140.408,2591.667,1.667,3.333,52.096,201.547,0.289,0.802,10.0,220.0,54.179,31.088
140.408,2591.667,1.667,3.333,52.096,201.547,0.289,0.802,10.0,220.0,54.179,31.088
141.109,2426,4,15.0,50.586,196.801,0.298,0.716,10.0,240,58.165467188364204,33.35237581672888
137.143,2532,0,0.0,52.308,204.429,0.295,0.776,10.0,240,54.163749372412994,31.083819237177217
131.207,2422,0,0.0,49.742,194.559,0.294,0.707,10.0,240,54.17320976367576,31.08187857784583
136.486,2460.0,1.333,5.0,50.879,198.596,0.296,0.733,10.0,240.0,55.501,31.839
136.486,2460.0,1.333,5.0,50.879,198.596,0.296,0.733,10.0,240.0,55.501,31.839
118.327,2181,48,50.0,47.183,185.176,0.309,0.789,20.0,80,54.2537490472177,31.134386775363538
139.626,2571,59,55.0,49.562,196.587,0.276,0.709,20.0,80,54.308212763231026,31.11948442106718
133.168,2452,51,25.0,48.049,194.96,0.28,0.736,20.0,80,54.31006316454142,31.11763578060206
130.374,2401.333,52.667,43.333,48.265,192.241,0.288,0.745,20.0,80.0,54.291,31.124
130.374,2401.333,52.667,43.333,48.265,192.241,0.288,0.745,20.0,80.0,54.291,31.124
122.244,2255,33,35.0,48.546,192.608,0.308,0.719,20.0,100,54.21003565819988,31.09798928322126
115.949,2135,35,35.0,47.774,187.726,0.32,0.765,20.0,100,54.308756397256246,31.157334459470082
120.253,2217,21,25.0,47.905,189.335,0.309,0.792,20.0,100,54.241150631042125,31.112326229269247
119.482,2202.333,29.667,31.667,48.075,189.89,0.312,0.759,20.0,100.0,54.253,31.123
119.482,2202.333,29.667,31.667,48.075,189.89,0.312,0.759,20.0,100.0,54.253,31.123
123.366,2277,27,30.0,48.516,190.844,0.305,0.683,20.0,120,54.17902520941599,31.118112538119497
106.316,1962,13,30.0,46.15,181.505,0.336,0.734,20.0,120,54.18782824770026,31.120017034198163
124.509,2297,23,30.0,49.29,192.134,0.307,0.746,20.0,120,54.204941730059176,31.13295090525473
118.064,2178.667,21.0,30.0,47.985,188.161,0.316,0.721,20.0,120.0,54.191,31.124
118.064,2178.667,21.0,30.0,47.985,188.161,0.316,0.721,20.0,120.0,54.191,31.124
126.528,2337,8,25.0,50.065,196.743,0.306,0.747,20.0,140,54.14142320948786,31.076676936347514
120.652,2226,6,10.0,49.156,190.678,0.316,0.721,20.0,140,54.201122564125576,31.08598858198387
109.676,2025,7,25.0,47.502,187.691,0.335,0.748,20.0,140,54.16085090166257,31.118760167816536
