whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
上下移动实验
================================================================
120.006,2233,0,0.0,47.338,186.42,0.303,0.883,10,80,53.74213146939173,32.140147669989055
115.787,2192,0,0.0,47.543,185.27,0.31,0.821,10,80,52.82234514716768,31.767919550846965
119.887,2221,0,0.0,47.809,184.936,0.308,0.917,10,80,53.97901251637039,32.40145299414266

118.56,2215.333,0.0,0.0,47.563,185.542,0.307,0.874,10.0,80.0,53.514,32.103
118.56,2215.333,0.0,0.0,47.563,185.542,0.307,0.874,10.0,80.0,53.514,32.103

125.92,2268,0,0.0,48.128,187.388,0.303,0.871,10,100,55.52013809718783,33.25713879216916
133.624,2301,0,0.0,48.592,192.916,0.302,0.809,10,100,58.07228929734344,34.68292871282081
133.741,2301,2,5.0,48.781,189.812,0.303,0.923,10,100,58.12313793949954,34.47308907142052

131.095,2290.0,0.667,1.667,48.5,190.039,0.303,0.868,10.0,100.0,57.239,34.138
131.095,2290.0,0.667,1.667,48.5,190.039,0.303,0.868,10.0,100.0,57.239,34.138

131.4,2354,0,0.0,48.745,192.72,0.296,0.77,10,150,55.81993862239608,32.97063923530287
127.559,2305,0,0.0,49.346,190.952,0.306,0.875,10,150,55.34018922007265,32.963461369082104
136.461,2521,0,0.0,50.336,200.51,0.285,0.882,10,150,54.129562411975975,32.40107184882582

131.807,2393.333,0.0,0.0,49.476,194.727,0.296,0.842,10.0,150.0,55.097,32.778
131.807,2393.333,0.0,0.0,49.476,194.727,0.296,0.842,10.0,150.0,55.097,32.778

130.343,2408,1,5.0,50.118,196.337,0.298,0.917,10,200,54.12936755193032,32.60553249489033
126.969,2353,3,5.0,50.137,192.77,0.305,0.844,10,200,53.96048099600504,32.37226523088487
113.95,2134,0,0.0,47.711,188.362,0.32,0.766,10,200,53.397441535992606,32.11159312847963
123.754,2298.333,1.333,3.333,49.322,192.49,0.308,0.842,10.0,200.0,53.829,32.363
123.754,2298.333,1.333,3.333,49.322,192.49,0.308,0.842,10.0,200.0,53.829,32.363
139.769,2559,3,5.0,51.747,205.31,0.289,0.873,10,250,54.61847265048994,32.80271045301705
145.089,2670,0,0.0,52.217,206.5,0.28,0.738,10,250,54.34039094474878,32.64333005255081
122.612,2316,0,0.0,49.003,195.086,0.303,0.869,10,250,52.941252118771146,31.89781169199573
135.823,2515.0,1.0,1.667,50.989,202.299,0.291,0.827,10.0,250.0,53.967,32.448
135.823,2515.0,1.0,1.667,50.989,202.299,0.291,0.827,10.0,250.0,53.967,32.448
105.638,1992,31,15.0,44.236,179.444,0.318,0.902,20,80,53.031038448035,31.926373401320124
103.34,1956,3,10.0,45.621,177.6,0.334,0.839,20,80,52.83244158348911,31.830000487329528
99.206,1874,0,0.0,45.664,174.74,0.348,0.806,20,80,52.93789846283904,31.87687356291357
102.728,1940.667,11.333,8.333,45.174,177.261,0.333,0.849,20.0,80.0,52.934,31.878
102.728,1940.667,11.333,8.333,45.174,177.261,0.333,0.849,20.0,80.0,52.934,31.878
113.076,2096,23,15.0,45.267,182.994,0.309,0.854,20,100,53.948472588116886,32.301837365135896
116.323,1961,1,5.0,46.133,181.088,0.336,0.87,20,100,59.31833640219666,35.21262389673742
120.949,2071,25,15.0,46.252,184.18,0.319,0.848,20,100,58.40137717460216,35.05349792414159
116.783,2042.667,16.333,11.667,45.884,182.754,0.321,0.857,20.0,100.0,57.223,34.189
116.783,2042.667,16.333,11.667,45.884,182.754,0.321,0.857,20.0,100.0,57.223,34.189
123.935,2103,0,0.0,48.015,186.077,0.326,0.87,20,150,58.932283068632884,35.4529886204914
120.948,2106,1,5.0,48.157,188.271,0.327,0.907,20,150,57.429983744933736,34.52233813087485
113.873,2126,4,10.0,46.797,188.19,0.315,0.871,20,150,53.562205912140556,32.276936331001636

119.585,2111.667,1.667,5.0,47.656,187.513,0.323,0.883,20.0,150.0,56.641,34.084
119.585,2111.667,1.667,5.0,47.656,187.513,0.323,0.883,20.0,150.0,56.641,34.084

117.025,2134,0,0.0,47.714,186.405,0.32,0.933,20,200,54.838357289036296,32.913032936625314
118.106,2070,4,5.0,47.225,186.382,0.326,0.817,20,200,57.0558398242158,34.365579701852106
113.179,2012,0,0.0,46.613,183.36,0.331,0.942,20,200,56.25219136535766,34.11367482266891

116.103,2072.0,1.333,1.667,47.184,185.382,0.326,0.897,20.0,200.0,56.049,33.797
116.103,2072.0,1.333,1.667,47.184,185.382,0.326,0.897,20.0,200.0,56.049,33.797

118.563,2118,0,0.0,48.148,190.742,0.325,0.871,20,250,55.978998358909315,33.67072979834307
117.962,2072,0,0.0,47.213,186.526,0.326,0.871,20,250,56.93145504789463,34.43731971689173
119.107,2134,1,5.0,47.513,189.051,0.318,0.923,20,250,55.8139045549087,33.494427255525025

118.544,2108.0,0.333,1.667,47.625,188.773,0.323,0.888,20.0,250.0,56.241,33.867
118.544,2108.0,0.333,1.667,47.625,188.773,0.323,0.888,20.0,250.0,56.241,33.867

87.952,1605,20,30.0,42.824,163.373,0.382,0.883,50,80,54.798709417800666,32.88096742837971
93.769,1715,75,35.0,43.345,170.323,0.361,0.829,50,80,54.67578134453331,32.81692999792516
88.071,1614,23,30.0,43.16,165.428,0.382,0.886,50,80,54.56700511138236,32.774104504780254
89.931,1644.667,39.333,31.667,43.11,166.375,0.375,0.866,50.0,80.0,54.68,32.824
89.931,1644.667,39.333,31.667,43.11,166.375,0.375,0.866,50.0,80.0,54.68,32.824
88.795,1626,16,45.0,44.184,167.647,0.389,0.858,50,100,54.60973038151402,32.82359253436437
91.79,1680,4,15.0,43.886,169.342,0.374,0.819,50,100,54.63678240776062,32.853252830959505
93.938,1724,47,25.0,43.84,169.85,0.364,0.847,50,100,54.488254533842934,32.75840603281893
91.508,1676.667,22.333,28.333,43.97,168.946,0.376,0.841,50.0,100.0,54.578,32.812
91.508,1676.667,22.333,28.333,43.97,168.946,0.376,0.841,50.0,100.0,54.578,32.812
97.123,1782,4,5.0,45.003,173.921,0.361,0.849,50,150,54.50228274738213,32.8177916080462
90.544,1664,2,10.0,44.662,171.967,0.384,0.908,50,150,54.413520802672096,32.722413539886475
92.476,1700,15,15.0,44.014,171.857,0.37,0.868,50,150,54.397399705999035,32.75675521177404
93.381,1715.333,7.0,10.0,44.56,172.582,0.372,0.875,50.0,150.0,54.438,32.766
93.381,1715.333,7.0,10.0,44.56,172.582,0.372,0.875,50.0,150.0,54.438,32.766
97.574,1788,18,5.0,44.675,175.219,0.357,0.933,50,200,54.57187885672721,32.78160015208609
100.821,1850,11,10.0,46.021,182.537,0.356,0.854,50,200,54.49770656791893,32.75829276523075
95.05,1745,10,15.0,44.976,173.944,0.369,0.875,50,200,54.46975962138791,32.729534433359404
97.815,1794.333,13.0,10.0,45.224,177.233,0.361,0.887,50.0,200.0,54.513,32.756
97.815,1794.333,13.0,10.0,45.224,177.233,0.361,0.887,50.0,200.0,54.513,32.756
95.318,1752,0,0.0,45.239,175.556,0.369,0.798,50,250,54.40523798607256,32.776210814306175
100.316,1840,4,5.0,46.269,178.116,0.36,0.878,50,250,54.51962494331857,32.750970125198364
99.439,1826,1,5.0,46.108,180.035,0.361,0.846,50,250,54.45738455029725,32.749404912449315

98.358,1806.0,1.667,3.333,45.872,177.902,0.363,0.841,50.0,250.0,54.461,32.759
98.358,1806.0,1.667,3.333,45.872,177.902,0.363,0.841,50.0,250.0,54.461,32.759

87.531,1602,91,70.0,41.833,162.291,0.374,0.851,80,80,54.638816920410235,32.72206625539563
85.855,1570,73,60.0,41.485,161.962,0.378,0.822,80,80,54.684437156482865,32.761279488824734
88.878,1626,116,50.0,41.67,163.386,0.367,0.934,80,80,54.660692426111424,32.7255991258891
87.421,1599.333,93.333,60.0,41.663,162.546,0.373,0.869,80.0,80.0,54.661,32.736
87.421,1599.333,93.333,60.0,41.663,162.546,0.373,0.869,80.0,80.0,54.661,32.736
86.761,1590,44,40.0,41.703,163.222,0.375,0.924,80,100,54.56678177575645,32.795649654460405
90.732,1661,57,65.0,42.3,165.926,0.364,0.84,80,100,54.62524504779262,32.772172437526606
89.879,1649,67,55.0,42.735,166.223,0.371,0.891,80,100,54.505061062268595,32.72286380978336
89.124,1633.333,56.0,53.333,42.246,165.124,0.37,0.885,80.0,100.0,54.566,32.764
89.124,1633.333,56.0,53.333,42.246,165.124,0.37,0.885,80.0,100.0,54.566,32.764
88.187,1615,23,20.0,43.073,167.389,0.381,0.893,80,150,54.60507301354187,32.76520277324476
94.643,1732,49,25.0,43.382,170.257,0.358,0.921,80,150,54.64403720155324,32.79709471841332
91.522,1676,38,40.0,42.898,172.0,0.366,0.81,80,150,54.607398470147984,32.75482737079156
91.451,1674.333,36.667,28.333,43.118,169.882,0.368,0.875,80.0,150.0,54.619,32.772
91.451,1674.333,36.667,28.333,43.118,169.882,0.368,0.875,80.0,150.0,54.619,32.772
88.038,1599,20,30.0,43.709,167.771,0.391,0.89,80,200,55.058295164651014,32.9794312656634
94.191,1649,28,35.0,44.101,169.925,0.383,0.854,80,200,57.11993396173758,34.173473291067445
97.109,1670,29,20.0,44.34,171.777,0.38,0.869,80,200,58.14898499471699,34.606497016495574
93.113,1639.333,25.667,28.333,44.05,169.824,0.385,0.871,80.0,200.0,56.776,33.92
