β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3501,1,2.5,18.875,0.129,0.235,,
0.1,3500,32,7.5,17.04,0.116,0.231,,
0.1,3500,4,2.5,19.093,0.13,0.238,,
0.1,3501,15,5.0,17.948,0.122,0.236,,
0.1,3500.5,13.0,4.375,18.239,0.124,0.235,,average
0.1,3500.5,13.0,4.375,18.239,0.124,0.235,,averages_no_outliers
0.3,3501,1,2.5,18.424,0.126,0.238,,
0.3,3501,0,0.0,18.942,0.129,0.234,,
0.3,3501,11,5.0,18.632,0.127,0.239,,
0.3,3501,16,7.5,18.029,0.123,0.238,,
0.3,3501.0,7.0,3.75,18.507,0.126,0.237,,average
0.3,3501.0,7.0,3.75,18.507,0.126,0.238,,averages_no_outliers
0.5,3500,22,7.5,18.216,0.124,0.236,,
0.5,3501,2,2.5,18.686,0.128,0.237,,
0.5,3500,13,5.0,18.54,0.126,0.238,,
0.5,3500,38,7.5,17.291,0.118,0.231,,
0.5,3500.25,18.75,5.625,18.183,0.124,0.236,,average
0.5,3500.0,18.75,5.625,18.183,0.124,0.236,,averages_no_outliers
0.8,3500,38,10.0,17.401,0.119,0.234,,
0.8,3500,0,0.0,19.035,0.13,0.235,,
0.8,3500,0,0.0,18.857,0.128,0.233,,
0.8,3500,4,5.0,18.708,0.127,0.232,,
0.8,3500.0,10.5,3.75,18.5,0.126,0.233,,average
0.8,3500.0,1.333,3.75,18.867,0.128,0.233,,averages_no_outliers
1,3500,6,2.5,19.033,0.13,0.238,,
1,3501,3,2.5,18.335,0.125,0.239,,
1,3501,1,2.5,18.823,0.128,0.235,,
1,3501,2,2.5,18.677,0.127,0.234,,
1.0,3500.75,3.0,2.5,18.717,0.128,0.236,,average
1.0,3501.0,3.0,2.5,18.717,0.128,0.236,,averages_no_outliers
2,3500,0,0.0,18.293,0.125,0.233,,
2,3501,24,10.0,17.164,0.117,0.234,,
2,3501,15,7.5,17.686,0.12,0.23,,
2,3501,44,7.5,17.66,0.12,0.234,,
2.0,3500.75,20.75,6.25,17.701,0.12,0.233,,average
2.0,3501.0,20.75,8.333,17.503,0.119,0.233,,averages_no_outliers
3,3501,35,10.0,17.437,0.119,0.233,,
3,3501,0,0.0,19.047,0.13,0.237,,
3,3501,18,7.5,17.56,0.119,0.235,,
3,3500,5,7.5,19.144,0.13,0.237,,
3.0,3500.75,14.5,6.25,18.297,0.124,0.236,,average
3.0,3501.0,14.5,8.333,18.297,0.124,0.236,,averages_no_outliers
4,3501,0,0.0,18.419,0.126,0.237,,
4,3501,25,10.0,18.214,0.124,0.237,,
4,3501,22,7.5,17.62,0.12,0.236,,
4,3501,0,0.0,18.465,0.126,0.233,,
4.0,3501.0,11.75,4.375,18.18,0.124,0.236,,average
4.0,3501.0,11.75,4.375,18.18,0.124,0.236,,averages_no_outliers
5,3500,34,5.0,16.757,0.114,0.236,,
5,3501,20,10.0,18.232,0.124,0.23,,
5,3500,7,10.0,18.819,0.128,0.238,,
5,3501,5,7.5,18.431,0.126,0.232,,
5.0,3500.5,16.5,8.125,18.06,0.123,0.234,,average
5.0,3500.5,16.5,8.125,18.494,0.123,0.234,,averages_no_outliers
6,3501,0,0.0,19.021,0.13,0.236,,
6,3501,12,5.0,18.012,0.123,0.234,,
6,3501,21,5.0,18.135,0.123,0.237,,
6,3501,9,2.5,17.964,0.122,0.236,,
6.0,3501.0,10.5,3.125,18.283,0.124,0.236,,average
6.0,3501.0,10.5,3.125,18.037,0.123,0.236,,averages_no_outliers
7,3501,1,2.5,18.924,0.129,0.234,,
7,3500,26,5.0,18.327,0.125,0.236,,
7,3500,23,10.0,18.418,0.125,0.234,,
7,3501,32,10.0,17.518,0.119,0.231,,
7.0,3500.5,20.5,6.875,18.297,0.124,0.234,,average
7.0,3500.5,27.0,6.875,18.297,0.126,0.235,,averages_no_outliers
8,3501,32,5.0,18.86,0.129,0.236,,
8,3501,5,2.5,18.421,0.126,0.229,,
8,3501,2,5.0,18.267,0.124,0.231,,
8,3500,31,5.0,17.774,0.121,0.236,,
8.0,3500.75,17.5,4.375,18.33,0.125,0.233,,average
8.0,3501.0,17.5,5.0,18.33,0.125,0.233,,averages_no_outliers
9,3500,0,0.0,18.995,0.13,0.238,,
9,3501,2,2.5,18.502,0.126,0.23,,
9,3501,15,10.0,17.725,0.121,0.238,,
9,3500,8,7.5,18.351,0.125,0.232,,
9.0,3500.5,6.25,5.0,18.393,0.126,0.234,,average
9.0,3500.5,6.25,5.0,18.393,0.126,0.234,,averages_no_outliers
12,3501,0,0.0,18.985,0.13,0.238,,
12,3501,38,7.5,17.336,0.118,0.233,,
12,3500,34,5.0,18.059,0.123,0.238,,
12,3500,20,7.5,17.77,0.121,0.235,,
12.0,3500.5,23.0,5.0,18.037,0.123,0.236,,average
12.0,3500.5,23.0,5.0,18.037,0.123,0.236,,averages_no_outliers
15,3500,4,5.0,18.943,0.129,0.237,,
15,3501,8,5.0,18.028,0.123,0.235,,
15,3500,11,12.5,18.789,0.128,0.233,,
15,3500,24,10.0,18.478,0.126,0.236,,
15.0,3500.25,11.75,8.125,18.56,0.126,0.235,,average
15.0,3500.0,11.75,8.125,18.56,0.126,0.235,,averages_no_outliers
20,3500,0,0.0,18.505,0.126,0.231,,
20,3501,4,5.0,18.851,0.129,0.237,,
20,3500,8,12.5,17.886,0.122,0.233,,
20,3500,23,2.5,17.924,0.122,0.233,,
20.0,3500.25,8.75,5.0,18.292,0.125,0.233,,average
20.0,3500.0,8.75,5.0,18.292,0.125,0.232,,averages_no_outliers
25,3500,12,7.5,17.859,0.122,0.234,,
25,3501,16,2.5,18.075,0.123,0.231,,
25,3500,14,5.0,18.235,0.124,0.238,,
25,3501,0,0.0,18.771,0.128,0.235,,
25.0,3500.5,10.5,3.75,18.235,0.124,0.234,,average
25.0,3500.5,14.0,3.75,18.235,0.124,0.234,,averages_no_outliers
30,3500,1,2.5,18.743,0.128,0.231,,
30,3500,12,5.0,18.214,0.124,0.232,,
30,3501,5,7.5,18.337,0.125,0.235,,
30,3500,34,7.5,17.348,0.118,0.229,,
30.0,3500.25,13.0,5.625,18.16,0.124,0.232,,average
30.0,3500.0,13.0,5.625,18.16,0.124,0.232,,averages_no_outliers
35,3501,16,5.0,18.053,0.123,0.23,,
35,3501,15,5.0,18.099,0.124,0.234,,
35,3501,18,5.0,17.937,0.122,0.238,,
35,3501,0,0.0,18.824,0.128,0.234,,
35.0,3501.0,12.25,3.75,18.228,0.124,0.234,,average
35.0,3501.0,16.333,5.0,18.03,0.124,0.234,,averages_no_outliers
40,3500,0,0.0,18.965,0.129,0.236,,
40,3501,4,7.5,18.269,0.125,0.229,,
40,3500,12,2.5,18.436,0.125,0.236,,
40,3501,3,5.0,18.225,0.124,0.233,,
