β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3501,0,0.0,17.761,0.121,0.227,,
0.1,3500,1,2.5,18.412,0.126,0.236,,
0.1,3500,0,0.0,18.635,0.127,0.238,,
0.1,3501,0,0.0,18.296,0.125,0.238,,
0.1,3500.5,0.25,0.625,18.276,0.125,0.235,,average
0.1,3500.5,0.0,0.0,18.276,0.125,0.237,,averages_no_outliers
0.3,3500,0,0.0,17.969,0.123,0.233,,
0.3,3500,5,2.5,18.152,0.124,0.237,,
0.3,3501,10,2.5,15.802,0.108,0.234,,
0.3,3500,0,0.0,18.671,0.127,0.234,,
0.3,3500.25,3.75,1.25,17.648,0.12,0.234,,average
0.3,3500.0,3.75,1.25,18.264,0.125,0.234,,averages_no_outliers
0.5,3501,0,0.0,18.423,0.126,0.234,,
0.5,3501,1,2.5,18.375,0.126,0.238,,
0.5,3501,0,0.0,18.483,0.126,0.237,,
0.5,3501,0,0.0,18.491,0.126,0.239,,
0.5,3501.0,0.25,0.625,18.443,0.126,0.237,,average
0.5,3501.0,0.0,0.0,18.443,0.126,0.237,,averages_no_outliers
0.8,3500,0,0.0,18.208,0.124,0.237,,
0.8,3501,1,2.5,18.365,0.125,0.234,,
0.8,3501,0,0.0,18.438,0.125,0.233,,
0.8,3501,0,0.0,18.025,0.123,0.237,,
0.8,3500.75,0.25,0.625,18.259,0.124,0.235,,average
0.8,3501.0,0.0,0.0,18.259,0.124,0.235,,averages_no_outliers
1,3501,0,0.0,18.49,0.126,0.237,,
1,3501,3,2.5,18.356,0.125,0.237,,
1,3501,0,0.0,18.342,0.125,0.237,,
1,3501,3,2.5,18.312,0.125,0.237,,
1.0,3501.0,1.5,1.25,18.375,0.125,0.237,,average
1.0,3501.0,1.5,1.25,18.337,0.125,0.237,,averages_no_outliers
2,3500,18,10.0,17.825,0.122,0.238,,
2,3500,0,0.0,18.117,0.124,0.228,,
2,3501,1,0.0,17.901,0.122,0.233,,
2,3501,2,2.5,18.365,0.125,0.23,,
2.0,3500.5,5.25,3.125,18.052,0.123,0.232,,average
2.0,3500.5,1.0,3.125,18.052,0.123,0.232,,averages_no_outliers
3,3500,1,2.5,17.741,0.121,0.236,,
3,3501,8,2.5,17.429,0.119,0.232,,
3,3501,1,2.5,18.411,0.125,0.233,,
3,3500,0,0.0,17.524,0.119,0.226,,
3.0,3500.5,2.5,1.875,17.776,0.121,0.232,,average
3.0,3500.5,0.667,2.5,17.776,0.121,0.232,,averages_no_outliers
4,3501,1,2.5,17.586,0.12,0.231,,
4,3501,1,2.5,17.86,0.122,0.231,,
4,3501,5,2.5,17.751,0.121,0.231,,
4,3500,0,0.0,18.542,0.126,0.234,,
4.0,3500.75,1.75,1.875,17.935,0.122,0.232,,average
4.0,3501.0,0.667,2.5,17.732,0.122,0.231,,averages_no_outliers
5,3501,20,5.0,17.631,0.12,0.231,,
5,3501,3,5.0,18.427,0.126,0.227,,
5,3501,6,7.5,17.851,0.122,0.233,,
5,3500,3,2.5,17.878,0.122,0.228,,
5.0,3500.75,8.0,5.0,17.947,0.122,0.23,,average
5.0,3501.0,4.0,5.0,17.787,0.121,0.23,,averages_no_outliers
6,3500,1,2.5,17.775,0.121,0.231,,
6,3501,7,2.5,16.944,0.116,0.235,,
6,3501,12,2.5,18.032,0.123,0.234,,
6,3500,1,2.5,17.194,0.117,0.231,,
6.0,3500.5,5.25,2.5,17.486,0.119,0.233,,average
6.0,3500.5,5.25,2.5,17.486,0.119,0.233,,averages_no_outliers
7,3500,31,10.0,16.898,0.115,0.226,,
7,3500,1,2.5,17.605,0.12,0.227,,
7,3500,3,2.5,18.1,0.123,0.231,,
7,3501,3,5.0,18.309,0.125,0.23,,
7.0,3500.25,9.5,5.0,17.728,0.121,0.228,,average
7.0,3500.0,2.333,5.0,17.728,0.121,0.228,,averages_no_outliers
8,3500,4,5.0,17.748,0.121,0.221,,
8,3501,1,2.5,17.702,0.121,0.223,,
8,3500,0,0.0,18.223,0.124,0.236,,
8,3501,0,0.0,17.694,0.121,0.227,,
8.0,3500.5,1.25,1.875,17.842,0.122,0.227,,average
8.0,3500.5,1.25,1.875,17.715,0.121,0.227,,averages_no_outliers
9,3500,0,0.0,18.327,0.125,0.233,,
9,3500,7,7.5,17.618,0.12,0.234,,
9,3501,0,0.0,18.375,0.125,0.23,,
9,3501,1,2.5,18.532,0.126,0.234,,
9.0,3500.5,2.0,2.5,18.213,0.124,0.233,,average
9.0,3500.5,0.333,2.5,18.411,0.125,0.233,,averages_no_outliers
12,3501,1,2.5,18.24,0.124,0.233,,
12,3501,1,2.5,17.962,0.123,0.229,,
12,3500,25,2.5,16.114,0.11,0.232,,
12,3500,2,2.5,17.124,0.117,0.228,,
12.0,3500.5,7.25,2.5,17.36,0.118,0.23,,average
12.0,3500.5,1.333,2.5,17.36,0.118,0.23,,averages_no_outliers
15,3501,1,2.5,18.445,0.126,0.233,,
15,3501,2,2.5,18.345,0.125,0.235,,
15,3501,3,5.0,18.073,0.123,0.233,,
15,3501,6,2.5,17.884,0.122,0.229,,
15.0,3501.0,3.0,3.125,18.187,0.124,0.232,,average
15.0,3501.0,3.0,2.5,18.187,0.124,0.234,,averages_no_outliers
20,3501,0,0.0,18.36,0.125,0.226,,
20,3500,1,2.5,17.926,0.122,0.227,,
20,3501,0,0.0,18.279,0.124,0.232,,
20,3500,0,0.0,17.808,0.121,0.229,,
20.0,3500.5,0.25,0.625,18.093,0.123,0.228,,average
20.0,3500.5,0.0,0.0,18.093,0.123,0.228,,averages_no_outliers
25,3500,1,2.5,18.38,0.125,0.233,,
25,3500,1,2.5,17.896,0.122,0.232,,
25,3500,0,0.0,18.302,0.125,0.232,,
