β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3500,20,10.0,18.165,0.124,0.238,,
0.1,3500,11,2.5,18.681,0.128,0.238,,
0.1,3501,20,10.0,18.692,0.127,0.237,,
0.1,3501,32,17.5,17.36,0.118,0.238,,
0.1,3500.5,20.75,10.0,18.224,0.124,0.238,,average
0.1,3500.5,17.0,10.0,18.224,0.124,0.238,,averages_no_outliers
0.3,3501,17,7.5,18.139,0.124,0.238,,
0.3,3500,24,12.5,18.752,0.128,0.239,,
0.3,3501,32,12.5,18.893,0.129,0.239,,
0.3,3500,17,10.0,18.072,0.123,0.238,,
0.3,3500.5,22.5,10.625,18.464,0.126,0.238,,average
0.3,3500.5,22.5,10.625,18.464,0.126,0.238,,averages_no_outliers
0.5,3501,11,5.0,19.013,0.13,0.238,,
0.5,3501,33,12.5,18.008,0.123,0.24,,
0.5,3500,7,5.0,18.784,0.128,0.239,,
0.5,3500,19,10.0,17.947,0.122,0.239,,
0.5,3500.5,17.5,8.125,18.438,0.126,0.239,,average
0.5,3500.5,17.5,8.125,18.438,0.126,0.239,,averages_no_outliers
0.8,3500,26,12.5,18.306,0.125,0.239,,
0.8,3500,60,25.0,18.841,0.129,0.24,,
0.8,3501,8,5.0,18.858,0.128,0.238,,
0.8,3501,8,2.5,18.607,0.127,0.238,,
0.8,3500.5,25.5,11.25,18.653,0.127,0.239,,average
0.8,3500.5,25.5,11.25,18.653,0.127,0.239,,averages_no_outliers
1,3500,16,10.0,18.842,0.129,0.239,,
1,3501,14,10.0,18.886,0.129,0.238,,
1,3500,9,7.5,18.696,0.127,0.239,,
1,3500,14,7.5,18.161,0.124,0.238,,
1.0,3500.25,13.25,8.75,18.646,0.127,0.238,,average
1.0,3500.0,14.667,8.75,18.646,0.127,0.238,,averages_no_outliers
2,3500,9,7.5,18.542,0.127,0.237,,
2,3501,18,10.0,18.755,0.128,0.239,,
2,3501,9,7.5,18.435,0.126,0.238,,
2,3500,19,15.0,18.539,0.126,0.239,,
2.0,3500.5,13.75,10.0,18.568,0.127,0.238,,average
2.0,3500.5,13.75,10.0,18.505,0.127,0.238,,averages_no_outliers
3,3500,22,12.5,18.693,0.128,0.238,,
3,3501,7,5.0,19.164,0.131,0.238,,
3,3501,16,7.5,18.35,0.125,0.235,,
3,3500,9,10.0,18.585,0.127,0.24,,
3.0,3500.5,13.5,8.75,18.698,0.128,0.238,,average
