β,lap_time,whileloop_count,collision_count
0.1,25.22710394859314,2497,23
0.3,22.417357444763184,2470,29
0.5,22.264429330825806,2470,14
0.8,21.94756579399109,2470,6
1,22.40909242630005,2471,15
0.1,25.26098322868347,293,0
0.3,25.595391511917114,295,0
0.5,29.089306354522705,269,7
0.1,22.862524032592773,2497,23
0.3,23.180932760238647,2470,29
0.5,22.798931121826172,2470,14
0.8,22.100141763687134,2470,6
1,21.94607901573181,2471,15
2,21.991621494293213,2471,0
3,21.886463165283203,2473,29
4,22.02205204963684,2471,4
5,21.98392915725708,2473,5
6,22.505346536636353,2471,25
7,22.41209077835083,2473,7
8,22.864771366119385,2471,0
9,23.04952120780945,2474,6
12,22.390117168426514,2471,16
15,22.062211513519287,2470,25
20,22.0918071269989,2467,12
25,23.34814143180847,2471,9
30,22.679125785827637,2471,8
40,22.563374280929565,2512,18
0.1,22.980870246887207,2434,6
0.3,22.3089280128479,2430,0
0.5,22.880540370941162,2471,27
0.8,21.77727198600769,2432,4
1,21.666340351104736,2432,17
2,22.448768138885498,2431,5
3,21.661807775497437,2432,22
4,21.886128664016724,2432,7
5,22.177892446517944,2431,0
6,23.044108390808105,2472,29
7,22.186597108840942,2434,8
8,23.143150091171265,2432,19
9,23.910025358200073,2469,5
12,23.282699584960938,2448,18
15,24.28869080543518,2430,0
20,22.840160846710205,2431,0
25,24.43586015701294,2463,38
30,24.468235969543457,2431,0
40,23.33519196510315,2474,3
0.1,23.09405016899109,2510,37
0.3,20.996987342834473,2470,12
0.5,21.18602228164673,2473,12
0.8,21.276400566101074,2471,42
1,21.179656744003296,2470,18
2,20.918055772781372,2471,22
3,22.001579999923706,2492,36
